Date: 12-19 OCT 1954
Typhoon  #14
ADV  LAT   LON       TIME     WIND  PR  STAT
  1  14.50  160.50 10/12/00Z   30     - TROPICAL DEPRESSION
  2  15.40  159.40 10/12/06Z   35     - TROPICAL STORM
  3  16.20  158.30 10/12/12Z   40     - TROPICAL STORM
  4  17.10  157.40 10/12/18Z   40     - TROPICAL STORM
  5  18.00  156.40 10/13/00Z   50     - TROPICAL STORM
  6  18.70  155.40 10/13/06Z   60     - TROPICAL STORM
  7  19.30  153.90 10/13/12Z   60     - TROPICAL STORM
  8  20.60  152.50 10/13/18Z   70     - TYPHOON-1
  9  21.40  151.70 10/14/00Z   70     - TYPHOON-1
 10  22.60  151.10 10/14/06Z   80     - TYPHOON-1
 11  23.40  150.60 10/14/12Z   90     - TYPHOON-2
 12  24.30  150.20 10/14/18Z  100     - TYPHOON-3
 13  25.00  150.30 10/15/00Z  100     - TYPHOON-3
 14  25.70  150.90 10/15/06Z   80     - TYPHOON-1
 15  26.00  151.30 10/15/12Z   80     - TYPHOON-1
 16  26.70  151.80 10/15/18Z   80     - TYPHOON-1
 17  27.50  152.20 10/16/00Z   80     - TYPHOON-1
 18  28.80  153.20 10/16/06Z   80     - TYPHOON-1
 19  30.00  153.80 10/16/12Z   90     - TYPHOON-2
 20  31.50  154.80 10/16/18Z   95     - TYPHOON-2
 21  32.80  156.20 10/17/00Z   95     - TYPHOON-2
 22  34.00  157.90 10/17/06Z   90     - TYPHOON-2
 23  35.00  160.00 10/17/12Z   80     - TYPHOON-1
 24  35.80  162.20 10/17/18Z   70     - TYPHOON-1
 25  36.70  165.30 10/18/00Z   60     - TROPICAL STORM
 26  37.50  168.50 10/18/06Z   60     - TROPICAL STORM
 27  38.00  172.60 10/18/12Z   60     - TROPICAL STORM
 28  39.60 -178.00 10/18/18Z   60     - TROPICAL STORM
 29  40.00 -170.00 10/19/00Z   60     - TROPICAL STORM
 30  40.50 -162.00 10/19/06Z   55     - TROPICAL STORM
 31  41.00 -152.00 10/19/12Z   55     - TROPICAL STORM
 32  42.00 -147.00 10/19/18Z   65     - TYPHOON-1
