ADV,LAT,LON,TIME,WIND,PR,STAT
1,15.10,144.50,06/28/00Z,45,-,TROPICAL STORM
2,15.80,142.80,06/28/06Z,55,-,TROPICAL STORM
3,16.20,141.20,06/28/12Z,60,-,TROPICAL STORM
4,16.50,139.30,06/28/18Z,60,-,TROPICAL STORM
5,17.10,137.30,06/29/00Z,65,-,TYPHOON-1
6,17.70,135.60,06/29/06Z,75,-,TYPHOON-1
7,18.30,134.10,06/29/12Z,80,-,TYPHOON-1
8,18.80,132.70,06/29/18Z,95,-,TYPHOON-2
9,19.30,131.40,06/30/00Z,110,-,TYPHOON-3
10,19.90,130.50,06/30/06Z,100,-,TYPHOON-3
11,20.30,129.80,06/30/12Z,95,-,TYPHOON-2
12,20.80,129.30,06/30/18Z,85,-,TYPHOON-2
13,21.50,128.90,07/01/00Z,80,-,TYPHOON-1
14,22.50,128.60,07/01/06Z,65,-,TYPHOON-1
15,23.50,128.60,07/01/12Z,55,-,TROPICAL STORM
16,24.50,128.70,07/01/18Z,50,-,TROPICAL STORM
17,25.80,128.90,07/02/00Z,45,-,TROPICAL STORM
18,27.80,130.70,07/02/06Z,30,-,TROPICAL DEPRESSION
