Date: 21 SEP-3 OCT 1987
Typhoon  #16
ADV  LAT   LON       TIME     WIND  PR  STAT
  1  10.00 -169.70 09/21/00Z   25     - TROPICAL DEPRESSION
  2  10.00 -170.70 09/21/06Z   25     - TROPICAL DEPRESSION
  3  10.00 -171.80 09/21/12Z   25     - TROPICAL DEPRESSION
  4  10.20 -172.80 09/21/18Z   25     - TROPICAL DEPRESSION
  5  10.60 -173.80 09/22/00Z   30     - TROPICAL DEPRESSION
  6  11.00 -174.60 09/22/06Z   30     - TROPICAL DEPRESSION
  7  11.50 -175.20 09/22/12Z   35     - TROPICAL STORM
  8  12.10 -175.60 09/22/18Z   35     - TROPICAL STORM
  9  12.70 -176.30 09/23/00Z   40     - TROPICAL STORM
 10  13.40 -176.80 09/23/06Z   45     - TROPICAL STORM
 11  14.30 -177.20 09/23/12Z   50     - TROPICAL STORM
 12  15.20 -177.20 09/23/18Z   55     - TROPICAL STORM
 13  15.80 -177.20 09/24/00Z   65     - TYPHOON-1
 14  16.30 -177.20 09/24/06Z   70     - TYPHOON-1
 15  16.60 -177.40 09/24/12Z   75     - TYPHOON-1
 16  16.80 -177.60 09/24/18Z   80     - TYPHOON-1
 17  17.00 -177.80 09/25/00Z   85     - TYPHOON-2
 18  17.30 -178.00 09/25/06Z   85     - TYPHOON-2
 19  17.60 -178.20 09/25/12Z   80     - TYPHOON-1
 20  17.90 -178.20 09/25/18Z   80     - TYPHOON-1
 21  18.40 -178.20 09/26/00Z   80     - TYPHOON-1
 22  18.90 -178.10 09/26/06Z   80     - TYPHOON-1
 23  19.70 -178.00 09/26/12Z   75     - TYPHOON-1
 24  20.50 -177.90 09/26/18Z   75     - TYPHOON-1
 25  21.40 -177.80 09/27/00Z   75     - TYPHOON-1
 26  22.30 -178.00 09/27/06Z   75     - TYPHOON-1
 27  23.00 -178.50 09/27/12Z   75     - TYPHOON-1
 28  23.20 -179.20 09/27/18Z   75     - TYPHOON-1
 29  23.50 -179.70 09/28/00Z   75     - TYPHOON-1
 30  23.90 -180.00 09/28/06Z   75     - TYPHOON-1
 31  24.40  179.40 09/28/12Z   75     - TYPHOON-1
 32  24.70  178.40 09/28/18Z   90     - TYPHOON-2
 33  25.20  177.20 09/29/00Z  100     - TYPHOON-3
 34  25.70  176.00 09/29/06Z  100     - TYPHOON-3
 35  26.40  174.70 09/29/12Z  100     - TYPHOON-3
 36  27.20  173.20 09/29/18Z  100     - TYPHOON-3
 37  28.40  171.90 09/30/00Z  100     - TYPHOON-3
 38  29.40  170.70 09/30/06Z  100     - TYPHOON-3
 39  30.20  169.90 09/30/12Z  100     - TYPHOON-3
 40  30.90  169.20 09/30/18Z   95     - TYPHOON-2
 41  31.40  169.00 10/01/00Z   90     - TYPHOON-2
 42  31.80  169.10 10/01/06Z   80     - TYPHOON-1
 43  31.90  169.50 10/01/12Z   75     - TYPHOON-1
 44  31.70  170.00 10/01/18Z   65     - TYPHOON-1
 45  31.00  170.40 10/02/00Z   65     - TYPHOON-1
 46  30.40  170.80 10/02/06Z   60     - TROPICAL STORM
 47  29.80  171.50 10/02/12Z   55     - TROPICAL STORM
 48  29.40  172.10 10/02/18Z   50     - TROPICAL STORM
 49  28.90  172.60 10/03/00Z   45     - TROPICAL STORM
 50  28.00  173.40 10/03/06Z   35     - TROPICAL STORM
 51  27.90  174.60 10/03/12Z   35     - TROPICAL STORM
 52  28.00  175.10 10/03/18Z   30     - TROPICAL DEPRESSION
