Date: 3-20 AUG 1992
Super Typhoon  #11
ADV  LAT   LON       TIME     WIND  PR  STAT
  1   5.80 -178.00 08/03/06Z   15     - TROPICAL DEPRESSION
  2   6.20 -179.20 08/03/12Z   15     - TROPICAL DEPRESSION
  3   6.60  179.50 08/03/18Z   20     - TROPICAL DEPRESSION
  4   7.00  178.20 08/04/00Z   20     - TROPICAL DEPRESSION
  5   7.40  176.90 08/04/06Z   20     - TROPICAL DEPRESSION
  6   7.90  175.40 08/04/12Z   20     - TROPICAL DEPRESSION
  7   8.30  174.00 08/04/18Z   20     - TROPICAL DEPRESSION
  8   8.70  172.70 08/05/00Z   25     - TROPICAL DEPRESSION
  9   9.10  171.50 08/05/06Z   25     - TROPICAL DEPRESSION
 10   9.40  170.30 08/05/12Z   25     - TROPICAL DEPRESSION
 11   9.80  169.40 08/05/18Z   30     - TROPICAL DEPRESSION
 12  10.50  168.60 08/06/00Z   35     - TROPICAL STORM
 13  11.50  167.90 08/06/06Z   45     - TROPICAL STORM
 14  12.10  166.80 08/06/12Z   55     - TROPICAL STORM
 15  12.80  165.70 08/06/18Z   65     - TYPHOON-1
 16  13.40  164.60 08/07/00Z   75     - TYPHOON-1
 17  14.00  163.60 08/07/06Z   75     - TYPHOON-1
 18  14.60  162.60 08/07/12Z   80     - TYPHOON-1
 19  15.00  161.50 08/07/18Z   85     - TYPHOON-2
 20  15.50  160.50 08/08/00Z   90     - TYPHOON-2
 21  16.20  159.60 08/08/06Z   90     - TYPHOON-2
 22  17.00  158.90 08/08/12Z   90     - TYPHOON-2
 23  17.50  157.80 08/08/18Z   90     - TYPHOON-2
 24  18.00  156.70 08/09/00Z   90     - TYPHOON-2
 25  18.50  155.40 08/09/06Z   90     - TYPHOON-2
 26  18.90  154.50 08/09/12Z   95     - TYPHOON-2
 27  19.20  153.60 08/09/18Z   95     - TYPHOON-2
 28  19.40  152.80 08/10/00Z   95     - TYPHOON-2
 29  19.60  152.00 08/10/06Z  100     - TYPHOON-3
 30  19.90  151.10 08/10/12Z  110     - TYPHOON-3
 31  20.20  150.20 08/10/18Z  120     - TYPHOON-4
 32  20.50  149.30 08/11/00Z  125     - TYPHOON-4
 33  20.90  148.40 08/11/06Z  125     - TYPHOON-4
 34  21.30  147.70 08/11/12Z  130     - TYPHOON-4
 35  21.70  147.00 08/11/18Z  130     - TYPHOON-4
 36  22.10  146.30 08/12/00Z  130     - TYPHOON-4
 37  22.50  145.80 08/12/06Z  130     - TYPHOON-4
 38  22.80  145.40 08/12/12Z  125     - TYPHOON-4
 39  23.20  145.10 08/12/18Z  120     - TYPHOON-4
 40  23.60  145.00 08/13/00Z  115     - TYPHOON-4
 41  24.00  144.80 08/13/06Z  110     - TYPHOON-3
 42  24.50  144.70 08/13/12Z  105     - TYPHOON-3
 43  25.20  144.50 08/13/18Z  100     - TYPHOON-3
 44  25.80  144.00 08/14/00Z   95     - TYPHOON-2
 45  26.10  143.60 08/14/06Z   90     - TYPHOON-2
 46  26.40  143.20 08/14/12Z   85     - TYPHOON-2
 47  26.70  142.70 08/14/18Z   80     - TYPHOON-1
 48  27.00  142.30 08/15/00Z   80     - TYPHOON-1
 49  27.20  141.70 08/15/06Z   75     - TYPHOON-1
 50  27.40  140.80 08/15/12Z   75     - TYPHOON-1
 51  27.50  139.90 08/15/18Z   70     - TYPHOON-1
 52  27.70  139.00 08/16/00Z   65     - TYPHOON-1
 53  27.90  138.00 08/16/06Z   65     - TYPHOON-1
 54  28.10  137.10 08/16/12Z   60     - TROPICAL STORM
 55  28.30  136.20 08/16/18Z   55     - TROPICAL STORM
 56  28.70  135.30 08/17/00Z   55     - TROPICAL STORM
 57  29.10  134.30 08/17/06Z   55     - TROPICAL STORM
 58  29.70  133.40 08/17/12Z   55     - TROPICAL STORM
 59  30.30  132.70 08/17/18Z   55     - TROPICAL STORM
 60  31.00  132.10 08/18/00Z   55     - TROPICAL STORM
 61  31.70  131.60 08/18/06Z   50     - TROPICAL STORM
 62  32.40  131.20 08/18/12Z   45     - TROPICAL STORM
 63  33.20  131.00 08/18/18Z   40     - TROPICAL STORM
 64  34.10  130.90 08/19/00Z   35     - TROPICAL STORM
 65  35.10  130.90 08/19/06Z   30     - TROPICAL DEPRESSION
 66  36.30  131.20 08/19/12Z   25     - TROPICAL DEPRESSION
 67  37.50  131.90 08/19/18Z   25     - TROPICAL DEPRESSION
 68  38.60  132.80 08/20/00Z   25     - TROPICAL DEPRESSION
