Date: 23 SEP-7 OCT 1992
Typhoon  #21
ADV  LAT   LON       TIME     WIND  PR  STAT
  1  11.00 -167.00 09/23/18Z   15     - TROPICAL DEPRESSION
  2  11.30 -168.00 09/24/00Z   15     - TROPICAL DEPRESSION
  3  11.60 -169.00 09/24/06Z   15     - TROPICAL DEPRESSION
  4  11.90 -170.00 09/24/12Z   20     - TROPICAL DEPRESSION
  5  12.10 -171.00 09/24/18Z   20     - TROPICAL DEPRESSION
  6  12.20 -172.00 09/25/00Z   20     - TROPICAL DEPRESSION
  7  12.30 -173.00 09/25/06Z   20     - TROPICAL DEPRESSION
  8  12.60 -174.10 09/25/12Z   20     - TROPICAL DEPRESSION
  9  12.90 -175.20 09/25/18Z   20     - TROPICAL DEPRESSION
 10  13.30 -176.20 09/26/00Z   25     - TROPICAL DEPRESSION
 11  13.80 -177.20 09/26/06Z   25     - TROPICAL DEPRESSION
 12  14.20 -178.10 09/26/12Z   30     - TROPICAL DEPRESSION
 13  14.70 -179.00 09/26/18Z   30     - TROPICAL DEPRESSION
 14  15.10 -180.00 09/27/00Z   35     - TROPICAL STORM
 15  15.40  179.10 09/27/06Z   35     - TROPICAL STORM
 16  15.80  178.40 09/27/12Z   40     - TROPICAL STORM
 17  16.10  177.70 09/27/18Z   40     - TROPICAL STORM
 18  16.50  177.20 09/28/00Z   45     - TROPICAL STORM
 19  16.70  177.00 09/28/06Z   50     - TROPICAL STORM
 20  16.90  177.00 09/28/12Z   55     - TROPICAL STORM
 21  17.20  177.10 09/28/18Z   60     - TROPICAL STORM
 22  17.60  177.30 09/29/00Z   70     - TYPHOON-1
 23  18.40  177.50 09/29/06Z   80     - TYPHOON-1
 24  19.60  177.70 09/29/12Z   85     - TYPHOON-2
 25  21.10  177.50 09/29/18Z   85     - TYPHOON-2
 26  22.50  176.90 09/30/00Z   85     - TYPHOON-2
 27  23.70  175.90 09/30/06Z   80     - TYPHOON-1
 28  24.70  174.90 09/30/12Z   80     - TYPHOON-1
 29  25.40  173.50 09/30/18Z   75     - TYPHOON-1
 30  25.70  172.00 10/01/00Z   75     - TYPHOON-1
 31  25.70  170.30 10/01/06Z   80     - TYPHOON-1
 32  25.50  168.60 10/01/12Z   80     - TYPHOON-1
 33  25.10  167.00 10/01/18Z   80     - TYPHOON-1
 34  24.70  165.50 10/02/00Z   85     - TYPHOON-2
 35  24.30  164.20 10/02/06Z   90     - TYPHOON-2
 36  24.00  163.00 10/02/12Z   95     - TYPHOON-2
 37  23.80  161.90 10/02/18Z   95     - TYPHOON-2
 38  23.70  160.90 10/03/00Z   95     - TYPHOON-2
 39  23.90  160.10 10/03/06Z   95     - TYPHOON-2
 40  24.30  159.60 10/03/12Z   95     - TYPHOON-2
 41  24.80  159.20 10/03/18Z   95     - TYPHOON-2
 42  25.50  159.00 10/04/00Z   95     - TYPHOON-2
 43  26.30  159.00 10/04/06Z   95     - TYPHOON-2
 44  27.20  159.00 10/04/12Z   90     - TYPHOON-2
 45  28.20  159.00 10/04/18Z   85     - TYPHOON-2
 46  29.30  158.90 10/05/00Z   80     - TYPHOON-1
 47  30.50  158.80 10/05/06Z   80     - TYPHOON-1
 48  31.80  158.90 10/05/12Z   75     - TYPHOON-1
 49  33.20  159.10 10/05/18Z   70     - TYPHOON-1
 50  34.80  159.50 10/06/00Z   65     - TYPHOON-1
 51  36.50  160.20 10/06/06Z   60     - TROPICAL STORM
 52  38.40  161.50 10/06/12Z   55     - TROPICAL STORM
 53  40.70  163.60 10/06/18Z   50     - TROPICAL STORM
 54  43.00  167.30 10/07/00Z   40     - TROPICAL STORM
