Date: 13 NOV-1 DEC 1992
Super Typhoon  #31
ADV  LAT   LON       TIME     WIND  PR  STAT
  1   6.10 -177.80 11/13/06Z   15     - TROPICAL DEPRESSION
  2   6.10 -178.70 11/13/12Z   15     - TROPICAL DEPRESSION
  3   6.10 -179.60 11/13/18Z   20     - TROPICAL DEPRESSION
  4   6.10  179.50 11/14/00Z   20     - TROPICAL DEPRESSION
  5   6.20  178.60 11/14/06Z   20     - TROPICAL DEPRESSION
  6   6.40  177.70 11/14/12Z   25     - TROPICAL DEPRESSION
  7   6.70  176.70 11/14/18Z   25     - TROPICAL DEPRESSION
  8   7.20  175.70 11/15/00Z   30     - TROPICAL DEPRESSION
  9   7.80  174.60 11/15/06Z   30     - TROPICAL DEPRESSION
 10   8.50  173.70 11/15/12Z   35     - TROPICAL STORM
 11   9.10  173.00 11/15/18Z   35     - TROPICAL STORM
 12   9.50  172.30 11/16/00Z   40     - TROPICAL STORM
 13   9.80  171.70 11/16/06Z   45     - TROPICAL STORM
 14  10.00  171.30 11/16/12Z   50     - TROPICAL STORM
 15  10.10  171.00 11/16/18Z   55     - TROPICAL STORM
 16  10.10  170.70 11/17/00Z   65     - TYPHOON-1
 17  10.20  170.40 11/17/06Z   70     - TYPHOON-1
 18  10.40  169.90 11/17/12Z   75     - TYPHOON-1
 19  10.50  169.10 11/17/18Z   80     - TYPHOON-1
 20  10.60  168.20 11/18/00Z   85     - TYPHOON-2
 21  10.50  167.30 11/18/06Z   90     - TYPHOON-2
 22  10.30  166.40 11/18/12Z  100     - TYPHOON-3
 23  10.10  165.50 11/18/18Z  115     - TYPHOON-4
 24  10.00  164.70 11/19/00Z  130     - TYPHOON-4
 25   9.90  163.80 11/19/06Z  135     - SUPER TYPHOON-4
 26   9.90  162.90 11/19/12Z  135     - SUPER TYPHOON-4
 27  10.00  162.00 11/19/18Z  140     - SUPER TYPHOON-5
 28  10.10  161.00 11/20/00Z  140     - SUPER TYPHOON-5
 29  10.30  159.80 11/20/06Z  145     - SUPER TYPHOON-5
 30  10.50  158.50 11/20/12Z  150     - SUPER TYPHOON-5
 31  10.80  157.20 11/20/18Z  155     - SUPER TYPHOON-5
 32  11.20  155.80 11/21/00Z  160     - SUPER TYPHOON-5
 33  11.60  154.40 11/21/06Z  155     - SUPER TYPHOON-5
 34  11.90  153.00 11/21/12Z  145     - SUPER TYPHOON-5
 35  12.20  151.70 11/21/18Z  135     - SUPER TYPHOON-4
 36  12.40  150.40 11/22/00Z  125     - TYPHOON-4
 37  12.60  149.10 11/22/06Z  115     - TYPHOON-4
 38  13.00  147.70 11/22/12Z  105     - TYPHOON-3
 39  13.30  146.30 11/22/18Z   95     - TYPHOON-2
 40  13.40  144.80 11/23/00Z   90     - TYPHOON-2
 41  13.40  143.30 11/23/06Z   85     - TYPHOON-2
 42  13.50  141.90 11/23/12Z   90     - TYPHOON-2
 43  13.70  140.60 11/23/18Z   90     - TYPHOON-2
 44  13.90  139.40 11/24/00Z   95     - TYPHOON-2
 45  14.50  138.30 11/24/06Z   95     - TYPHOON-2
 46  15.10  137.20 11/24/12Z   95     - TYPHOON-2
 47  15.80  136.10 11/24/18Z  100     - TYPHOON-3
 48  16.50  135.00 11/25/00Z  100     - TYPHOON-3
 49  17.10  134.00 11/25/06Z  105     - TYPHOON-3
 50  17.50  133.20 11/25/12Z  110     - TYPHOON-3
 51  17.90  132.60 11/25/18Z  115     - TYPHOON-4
 52  18.10  132.10 11/26/00Z  115     - TYPHOON-4
 53  18.20  131.90 11/26/06Z  110     - TYPHOON-3
 54  18.20  131.70 11/26/12Z  105     - TYPHOON-3
 55  18.20  131.50 11/26/18Z  105     - TYPHOON-3
 56  18.20  131.30 11/27/00Z  100     - TYPHOON-3
 57  18.30  131.00 11/27/06Z   95     - TYPHOON-2
 58  18.50  130.60 11/27/12Z   90     - TYPHOON-2
 59  18.80  130.40 11/27/18Z   85     - TYPHOON-2
 60  19.20  130.10 11/28/00Z   80     - TYPHOON-1
 61  19.90  130.00 11/28/06Z   75     - TYPHOON-1
 62  20.60  129.90 11/28/12Z   70     - TYPHOON-1
 63  21.30  129.80 11/28/18Z   65     - TYPHOON-1
 64  22.10  129.90 11/29/00Z   60     - TROPICAL STORM
 65  22.80  130.10 11/29/06Z   55     - TROPICAL STORM
 66  23.40  130.20 11/29/12Z   45     - TROPICAL STORM
 67  24.00  130.30 11/29/18Z   40     - TROPICAL STORM
 68  24.50  130.30 11/30/00Z   35     - TROPICAL STORM
 69  25.00  130.30 11/30/06Z   30     - TROPICAL DEPRESSION
 70  25.70  130.80 11/30/12Z   30     - TROPICAL DEPRESSION
 71  27.10  131.70 11/30/18Z   25     - TROPICAL DEPRESSION
 72  28.50  132.50 12/01/00Z   25     - TROPICAL DEPRESSION
